UTC,Open,High,Low,Close,Volume
26.03.2026 12:00:00.000 UTC,1.15241,1.15252,1.15229,1.15251,18
26.03.2026 12:01:00.000 UTC,1.1525,1.1527,1.15244,1.15244,151.42
26.03.2026 12:02:00.000 UTC,1.15245,1.15252,1.15223,1.15242,159.51
26.03.2026 12:03:00.000 UTC,1.15242,1.15251,1.15235,1.15251,88.65
26.03.2026 12:04:00.000 UTC,1.15251,1.15256,1.15248,1.15252,142.2
26.03.2026 12:05:00.000 UTC,1.15252,1.15269,1.15246,1.15266,127.35
26.03.2026 12:06:00.000 UTC,1.15266,1.15294,1.15266,1.15287,182.7
26.03.2026 12:07:00.000 UTC,1.15287,1.15308,1.15285,1.15304,138.6
26.03.2026 12:08:00.000 UTC,1.15303,1.15318,1.15297,1.15297,139.05
26.03.2026 12:09:00.000 UTC,1.15297,1.15299,1.15283,1.15286,117.9
26.03.2026 12:10:00.000 UTC,1.15285,1.15291,1.15279,1.15286,123.3
26.03.2026 12:11:00.000 UTC,1.15287,1.15292,1.15282,1.15288,76.95
26.03.2026 12:12:00.000 UTC,1.15288,1.15314,1.15288,1.15306,288.85
26.03.2026 12:13:00.000 UTC,1.15305,1.15337,1.15303,1.15337,202.95
26.03.2026 12:14:00.000 UTC,1.15338,1.15338,1.15313,1.15316,192.15
26.03.2026 12:15:00.000 UTC,1.15317,1.1533,1.15313,1.15317,115.2
26.03.2026 12:16:00.000 UTC,1.15317,1.15323,1.15314,1.15322,70.2
26.03.2026 12:17:00.000 UTC,1.15323,1.15342,1.15319,1.15338,121.95
26.03.2026 12:18:00.000 UTC,1.15341,1.15342,1.15321,1.15322,149.4
26.03.2026 12:19:00.000 UTC,1.15321,1.15322,1.15307,1.15313,139.95
26.03.2026 12:20:00.000 UTC,1.15312,1.15314,1.15298,1.15309,166.05
26.03.2026 12:21:00.000 UTC,1.1531,1.15319,1.153,1.15306,115.65
26.03.2026 12:22:00.000 UTC,1.15307,1.1532,1.15303,1.15318,141.3
26.03.2026 12:23:00.000 UTC,1.15317,1.15339,1.15314,1.15339,94.5
26.03.2026 12:24:00.000 UTC,1.15338,1.15338,1.15323,1.15327,161.1
26.03.2026 12:25:00.000 UTC,1.15329,1.15338,1.15327,1.15333,71.55
26.03.2026 12:26:00.000 UTC,1.15333,1.15339,1.15332,1.15336,77.4
26.03.2026 12:27:00.000 UTC,1.15334,1.15348,1.15334,1.15348,105.3
26.03.2026 12:28:00.000 UTC,1.15347,1.15348,1.15344,1.15348,45.45
26.03.2026 12:29:00.000 UTC,1.15347,1.15349,1.15332,1.15332,127.35
26.03.2026 12:30:00.000 UTC,1.15332,1.15343,1.15302,1.15302,199.75
26.03.2026 12:31:00.000 UTC,1.15301,1.15313,1.15299,1.15305,115.2
26.03.2026 12:32:00.000 UTC,1.15303,1.15334,1.15303,1.15329,149.85
26.03.2026 12:33:00.000 UTC,1.15329,1.15329,1.15288,1.15293,153
26.03.2026 12:34:00.000 UTC,1.15292,1.15298,1.15275,1.15275,214.65
26.03.2026 12:35:00.000 UTC,1.15277,1.15293,1.15269,1.15279,225.85
26.03.2026 12:36:00.000 UTC,1.15283,1.1531,1.15283,1.1531,180.45
26.03.2026 12:37:00.000 UTC,1.15309,1.15329,1.15298,1.15328,125.1
26.03.2026 12:38:00.000 UTC,1.15329,1.15334,1.1532,1.15326,111.15
26.03.2026 12:39:00.000 UTC,1.15324,1.1533,1.15307,1.15329,132.9
26.03.2026 12:40:00.000 UTC,1.1533,1.1533,1.15309,1.15311,139.23
26.03.2026 12:41:00.000 UTC,1.15313,1.15319,1.15298,1.15298,162.9
26.03.2026 12:42:00.000 UTC,1.15297,1.15311,1.15287,1.15307,136.92
26.03.2026 12:43:00.000 UTC,1.15308,1.15313,1.15294,1.15313,96.3
26.03.2026 12:44:00.000 UTC,1.15312,1.15312,1.1527,1.15272,144.6
26.03.2026 12:45:00.000 UTC,1.15273,1.15299,1.15273,1.15299,145.65
26.03.2026 12:46:00.000 UTC,1.153,1.15317,1.15297,1.15308,163.8
26.03.2026 12:47:00.000 UTC,1.1531,1.15325,1.15298,1.15301,155.65
26.03.2026 12:48:00.000 UTC,1.153,1.15301,1.1529,1.15295,68.4
26.03.2026 12:49:00.000 UTC,1.15293,1.15325,1.15293,1.15325,103.8
26.03.2026 12:50:00.000 UTC,1.15322,1.15323,1.15313,1.15314,81.45
26.03.2026 12:51:00.000 UTC,1.15316,1.15319,1.15308,1.15313,114.9
